2,2,100,1,GDOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
6600,-713382.7335,-4045525.772,4862955.392,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671949,-1.745340613,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713382.7335,-4045525.772,4862955.392,-6.023,6.5624,4.5452,0,0,0,0.872671949,-1.745340613,178,2.295
6700,-713383.3358,-4045525.115,4862955.846,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.87267206,-1.745340785,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713383.3358,-4045525.115,4862955.846,-6.023,6.5624,4.5452,0,0,0,0.87267206,-1.745340785,178,2.295
6800,-713383.938,-4045524.459,4862956.301,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872672171,-1.745340957,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713383.938,-4045524.459,4862956.301,-6.023,6.5624,4.5452,0,0,0,0.872672171,-1.745340957,178,2.295
6900,-713384.5403,-4045523.803,4862956.755,-6.0229,6.5624,4.5452,0,0,0,0,0,0,0.872672282,-1.745341129,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713384.5403,-4045523.803,4862956.755,-6.0229,6.5624,4.5452,0,0,0,0.872672282,-1.745341129,178,2.295
7000,-713385.1426,-4045523.147,4862957.21,-6.0229,6.5624,4.5452,0,0,0,0,0,0,0.872672393,-1.745341301,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713385.1426,-4045523.147,4862957.21,-6.0229,6.5624,4.5452,0,0,0,0.872672393,-1.745341301,178,2.295
7100,-713385.7449,-4045522.49,4862957.664,-6.0229,6.5624,4.5452,0,0,0,0,0,0,0.872672504,-1.745341473,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713385.7449,-4045522.49,4862957.664,-6.0229,6.5624,4.5452,0,0,0,0.872672504,-1.745341473,178,2.295
7200,-713386.3472,-4045521.834,4862958.119,-6.0229,6.5624,4.5452,0,0,0,0,0,0,0.872672614,-1.745341645,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713386.3472,-4045521.834,4862958.119,-6.0229,6.5624,4.5452,0,0,0,0.872672614,-1.745341645,178,2.295
7300,-713386.9495,-4045521.178,4862958.573,-6.0229,6.5624,4.5452,0,0,0,0,0,0,0.872672725,-1.745341818,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713386.9495,-4045521.178,4862958.573,-6.0229,6.5624,4.5452,0,0,0,0.872672725,-1.745341818,178,2.295
7400,-713387.5518,-4045520.522,4862959.028,-6.0229,6.5625,4.5452,0,0,0,0,0,0,0.872672836,-1.74534199,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713387.5518,-4045520.522,4862959.028,-6.0229,6.5625,4.5452,0,0,0,0.872672836,-1.74534199,178,2.295
7500,-713388.1541,-4045519.865,4862959.482,-6.0229,6.5625,4.5451,0,0,0,0,0,0,0.872672947,-1.745342162,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713388.1541,-4045519.865,4862959.482,-6.0229,6.5625,4.5451,0,0,0,0.872672947,-1.745342162,178,2.295
7600,-713388.7564,-4045519.209,4862959.937,-6.0229,6.5625,4.5451,0,0,0,0,0,0,0.872673058,-1.745342334,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713388.7564,-4045519.209,4862959.937,-6.0229,6.5625,4.5451,0,0,0,0.872673058,-1.745342334,178,2.295
7700,-713389.3587,-4045518.553,4862960.391,-6.0229,6.5625,4.5451,0,0,0,0,0,0,0.872673169,-1.745342506,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713389.3587,-4045518.553,4862960.391,-6.0229,6.5625,4.5451,0,0,0,0.872673169,-1.745342506,178,2.295
